No,Name,Team,IP,G,GS,CG,SHO,W,L,SV,SVO,BF,H,R,ER,HR,HBP,BB,IBB,SO,SacF,BK,PC,WHIP,WP,OBA,ERA,#P,BS,SV%,K-L,LOB,PIK,CS,SB,SB%,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,LD%,FB%,GB%,BABIP,BA/RISP
10,Lucas Weckerle,Rush,13.333,6,3,0,0,0,2,0,0,28,16,28,24,0,5,13,0,16,0,0,112,2.16,2,0,16.08,159,0,0,4,2,1,1,4,80,0.346,23.8,4.184,42.11,4,3,2,2,4.954,54.09,50,52.63,15.79,21.05,1.2,5,7,2,2,11.95,0.184,0.875,57.14,42.86,1.5,23.81,28.57,45,0.45,0.556
3,Mac Mcclleand,Chill,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,1,0,0,0,1,13,2,0,0.5,9,13,0,0,0,0,1,0,0,0,0.5,13,3.25,50,0,0,0,1,8.38,38.46,50,0,0,50,1,0,0,0,0,23.08,0,0,100,0,0,0,50,50,0.5,0
23,Marcus Burton,Rush,4,2,0,0,0,0,0,0,0,19,5,3,3,1,0,2,0,2,0,0,64,1.75,0,0.294,6.75,64,0,0,0,4,0,0,1,100,0.313,16,3.368,57.89,2,0,0,1,6,67.19,63.16,58.33,16.67,25,0.5,2,0,0,0,3.13,0.105,1,80,20,0.75,6.67,33.33,60,0.286,0.2
10,Marcus Sanders,A's,23.667,7,3,0,0,1,1,0,0,100,15,13,7,0,10,13,7,24,1,0,403,1.18,7,0.197,2.66,158,0,0,6,9,1,1,1,50,0.214,19.8,4.27,27.03,5,2,1,0,2.815,55.7,54.05,70,15,10,0.75,3,2,2,1,11.39,0.351,2.167,66.67,33.33,3.5,20,13.33,66.67,0.4,0.222
19,Mason Gehrman,Blue Sox,26.333,6,3,0,0,4,1,0,0,96,14,8,6,3,5,10,0,43,0,1,416,0.92,3,0.173,2.06,339,0,0,7,13,0,2,4,66.67,0.159,18.2,4.461,26.32,12,8,4,4,2.173,60.47,46.05,77.14,5.71,14.29,0.429,13,1,2,1,21.24,0.408,3.875,78.13,21.88,0.5,9.38,43.75,46.88,0.29,0.118
12,Mason Oliphant,Green Dragons,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,28,3,0,0.4,0,28,0,0,0,3,0,0,0,0,0.4,28,4.667,33.33,1,0,0,0,5.79,53.57,33.33,50,0,50,1,0,0,0,0,3.57,0,0,60,40,0,20,60,20,0.4,0.5
12,Max Meltzer,Blue Sox,12.333,7,0,0,0,0,0,0,0,60,15,17,17,0,2,11,0,8,0,3,198,2.13,5,0.319,12.54,198,0,0,4,10,0,1,4,80,0.256,20.5,3.96,44,3,3,1,1,4.887,54.04,48,58.33,12.5,20.83,0.931,4,6,1,1,5.56,0.12,0.667,87.88,12.12,0.429,12.12,51.52,36.36,0.303,0.222
16,Michael Birkhimer,Green Dragons,23.333,6,5,0,0,1,2,0,0,116,28,19,12,2,10,14,0,15,0,0,398,1.79,1,0.304,4.62,398,0,0,4,22,0,3,10,76.92,0.301,18.1,3.431,44.83,15,8,3,8,5.717,58.29,54.31,58.73,6.35,28.57,0.545,15,1,2,0,8.54,0.103,1,72.84,27.16,0.353,17.28,44.44,38.27,0.329,0.343
33,Michael Bonenfant,Chill,14,3,3,0,0,0,2,0,0,73,18,18,10,0,4,7,0,19,0,0,262,1.79,1,0.29,6.43,262,0,0,5,13,0,2,4,66.67,0.295,18.7,3.589,45.21,9,6,2,7,2.48,63.74,63.01,58.7,10.87,26.09,0.5,9,3,0,0,13.74,0.26,2.714,72.73,27.27,0.231,27.27,38.64,32.56,0.419,0.35
17,Michael Raymond,Blue Sox,4.667,3,1,0,0,0,1,0,0,34,10,10,10,0,1,10,0,6,1,0,140,4.11,1,0.455,18.49,50,0,0,1,2,0,0,2,100,0.444,30,3.846,46.15,1,0,0,0,6.98,52,46.15,50,16.67,33.33,2.4,0,3,1,1,14,0.154,0.5,71.43,28.57,0,0,57.14,42.86,0.571,0.333
35,Mike Groves,A's,1.333,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,26,0.91,0,0.2,0,26,0,0,2,3,0,0,2,100,0.2,19.5,5.2,20,0,0,0,0,-1.367,65.38,60,100,0,0,0,1,0,0,0,7.69,0.6,0,0,100,0,100,0,0,0.5,0
36,Morgan Patito,Blue Sox,9.333,5,2,0,0,1,1,0,0,32,6,5,4,0,0,9,0,17,1,0,150,1.61,0,0.273,3.86,103,0,0,5,3,0,0,3,100,0.071,20.6,4.905,19.05,3,2,1,0,2.766,51.46,42.86,55.56,33.33,11.11,1.4,1,3,2,1,10.68,0.476,1.429,50,50,0,25,0,75,0.25,0.167
25,Nate Koehler,Bootleggers,12,7,3,0,0,0,1,0,0,61,18,19,16,0,1,19,0,8,0,0,247,3.08,3,0.439,12,223,0,0,2,11,0,1,6,85.71,0.333,27.9,4.208,32.08,3,0,0,1,7.435,48.43,52.83,50,25,25,2,3,4,3,0,6.73,0.094,0.313,74.19,25.81,0.556,16.13,35.48,46.67,0.387,0.318
20,Nic Rivas,Green Dragons,22.667,5,4,0,0,3,1,0,0,98,25,16,13,0,3,16,0,13,0,0,347,1.81,5,0.316,5.16,295,0,0,1,20,1,1,12,92.31,0.313,18.4,3.734,35.44,9,6,1,3,4.451,55.93,45.57,66.67,5.56,25,0.813,5,2,5,1,10.51,0.101,0.615,61.4,38.6,1.143,22.81,26.32,50,0.351,0.3
12,Nicholas Ely,Coyotes,14.333,6,0,0,0,1,1,0,0,44,13,8,6,0,2,5,0,19,0,0,155,1.28,2,0.351,3.83,84,0,0,4,6,0,0,0,0,0.176,15.8,3.652,52.17,2,1,0,1,2.478,63.1,56.52,69.23,7.69,15.38,0.563,3,2,1,1,13.1,0.304,2.333,66.67,33.33,1,16.67,25,58.33,0.25,0.111
5,Noble Ortega,Blue Sox,12,8,2,0,0,0,0,0,0,46,16,15,15,0,0,12,0,15,0,0,142,2.33,2,0.471,11.25,142,0,0,4,6,0,1,2,66.67,0.32,22.4,4.733,23.33,5,1,0,1,2.039,54.93,46.67,78.57,7.14,14.29,0.789,2,0,1,0,10.56,0.333,2,80,20,0.667,13.33,26.67,60,0.533,0.444
4,Owen Powers,LumberJacks,6.667,4,1,0,0,1,0,0,0,23,8,3,3,0,0,2,0,6,0,0,83,1.5,1,0.381,4.05,83,0,0,1,6,0,1,1,50,0.304,14.6,3.458,58.33,4,3,2,2,2.224,61.45,58.33,64.29,7.14,28.57,0.176,4,0,0,0,9.64,0.167,4,68.42,31.58,0.5,21.05,47.37,31.58,0.368,0.25
7,Owen Boyce,Chill,5.333,4,0,0,0,0,0,1,1,22,2,2,1,0,2,3,0,5,0,0,85,0.94,0,0.118,1.69,65,0,100,0,4,0,0,2,100,0.1,21.7,4.333,20,0,0,0,1,4.81,55.38,53.33,75,0,12.5,1,0,1,2,1,6.15,0.267,1.333,66.67,33.33,2,33.33,0,66.67,0.167,0
6,Parker Loureiro,Green Dragons,2,2,0,0,0,0,0,0,0,13,2,3,3,0,2,3,0,2,0,0,51,2.5,1,0.25,13.5,51,0,0,2,4,0,0,1,100,0.25,25.5,3.923,38.46,0,0,0,0,7.645,43.14,38.46,60,0,20,1.5,1,1,1,1,5.88,0.154,0.667,100,0,0,0,83.33,16.67,0.333,0
35,Patrick Kennedy,Bombers,9.333,2,2,0,0,0,1,0,0,52,11,6,3,0,3,6,0,12,0,1,191,1.82,2,0.256,2.89,92,0,0,3,6,0,0,2,100,0.286,19.7,3.68,44,3,2,0,0,2.81,61.96,64,68.75,0,31.25,0.643,2,0,0,0,10.87,0.24,2,80,20,1,0,33.33,66.67,0.4,0.429
26,Payden Wysong,Coyotes,14,5,1,0,0,1,0,0,0,56,22,15,7,0,4,12,0,24,0,0,202,2.43,2,0.55,4.5,280,0,0,7,17,0,1,4,80,0.338,18.7,3.544,49.37,8,6,3,4,3.723,59.64,58.23,60.87,4.35,28.26,0.667,7,3,4,1,10,0.177,1.4,78.85,21.15,0.238,17.31,51.92,28,0.431,0.355
11,Preston Winget,A's,3,2,0,0,0,0,0,1,1,15,3,2,0,0,1,2,0,3,0,0,56,1.67,3,0.25,0,56,0,100,1,4,0,0,1,100,0.273,18.7,3.733,40,2,1,0,1,3.76,60.71,66.67,50,20,20,0.667,1,1,1,0,10.71,0.2,1.5,88.89,11.11,1,11.11,44.44,44.44,0.333,0.2
33,Richie Amavizca,A's,2,2,0,0,0,0,1,0,0,8,1,4,3,0,3,3,0,2,0,0,29,2,0,0.5,13.5,29,0,0,0,3,0,0,0,0,0.25,29,3.625,37.5,0,0,0,0,11.53,44.83,50,50,50,0,2,0,1,0,0,10.34,0.125,0.5,33.33,66.67,0,0,0,100,0.333,0
4,Ruben Leon,Rush,10.667,7,1,0,0,0,1,0,0,60,17,18,14,0,6,9,0,10,0,0,208,2.47,1,0.378,11.96,129,0,0,2,3,0,1,3,75,0.292,22.8,4.031,34.38,5,3,3,2,4.707,55.04,53.13,52.94,11.76,23.53,0.882,3,2,0,0,13.95,0.188,1.2,72.22,27.78,1.25,16.67,38.89,44.44,0.389,0.455
23,Ryan Silvers,Bootleggers,15,5,4,0,0,2,1,0,0,38,13,9,2,0,2,9,0,20,0,0,190,1.47,2,0.481,1.2,140,0,0,4,8,2,2,1,33.33,0.281,15.6,3.684,47.37,4,3,1,3,2.446,65.71,76.32,58.62,6.9,31.03,0.556,4,1,1,0,17.14,0.289,2.2,76.19,23.81,2.667,23.81,9.52,66.67,0.429,0.167
6,Sam Dicarlo,LumberJacks,17.333,5,5,0,0,2,0,0,0,67,11,9,6,0,1,13,0,25,0,0,265,1.38,2,0.208,3.12,265,0,0,7,14,1,0,5,100,0.182,18.5,3.955,41.79,7,5,3,4,2.677,56.6,49.25,78.79,6.06,15.15,0.767,9,4,4,3,10.94,0.284,1.727,69.44,30.56,0.909,13.89,30.56,54.29,0.278,0.1
20,Sam Galtman,NorthStars,6,7,0,0,0,0,1,0,0,30,0,12,9,0,0,21,0,4,0,0,132,3.5,13,0,13.5,76,0,0,1,0,0,0,1,100,0,45.6,4.471,11.76,1,1,0,0,19.41,25,35.29,50,50,0,7.2,0,8,2,1,1.32,0.118,0.167,100,0,0,0,0,100,0,0
35,Samuel Sanchez,Chill,14,8,1,0,0,2,0,0,0,36,11,5,4,0,2,4,0,26,0,0,152,1.07,2,0.367,2.57,149,0,100,5,9,0,1,4,80,0.219,18.6,4.027,37.84,5,3,2,4,0.759,65.77,56.76,80.95,9.52,9.52,0.5,6,1,0,0,20.81,0.432,4,62.5,37.5,0.5,25,25,50,0.438,0.154
13,Seth Gillaspy,LumberJacks,15.667,8,2,0,0,3,0,0,0,43,14,8,6,0,1,11,0,21,0,0,184,1.59,0,0.452,3.42,184,0,0,5,7,5,0,2,100,0.257,18.4,4.279,27.91,9,6,1,3,3.039,55.43,46.51,75,0,20,0.6,6,1,0,0,9.78,0.256,1.833,58.33,41.67,0.444,20.83,37.5,41.67,0.375,0
22,Tanner Hopkins,Chill,26,5,4,0,0,4,0,0,0,94,20,7,7,0,2,13,0,31,1,0,366,1.27,2,0.256,2.42,263,0,0,8,15,0,2,3,60,0.233,16.4,3.868,41.18,11,7,6,8,2.084,61.22,61.76,66.67,2.38,28.57,0.438,10,2,2,1,8.37,0.279,2.714,80.49,19.51,0.643,14.63,36.59,48.78,0.341,0.263
15,Tomoki Jitsukawa,Rush,26.667,6,4,1,0,1,3,0,0,102,25,15,11,0,3,9,0,40,2,1,381,1.27,0,0.284,3.68,264,0,0,3,17,0,0,4,100,0.254,16.9,3.718,43.66,9,1,0,2,1.766,67.05,69.01,71.43,6.12,16.33,0.255,11,0,1,0,15.15,0.282,5,77.27,22.73,1,18.18,31.82,48.84,0.364,0.217
7,Trent Schacher,Rush,1,1,0,0,0,0,0,0,0,9,2,4,4,0,1,3,0,0,0,0,35,5,1,0.4,36,35,0,0,0,2,0,0,0,0,0.4,35,3.889,33.33,0,0,0,0,13.56,51.43,44.44,50,25,25,3,0,2,1,1,2.86,0,0,60,40,0,40,40,20,0.4,0.4
24,Trey Willis,Bootleggers,12,6,0,0,0,0,0,0,0,48,8,8,2,0,2,8,0,8,0,0,172,1.33,1,0.211,1.5,172,0,0,1,5,0,0,5,100,0.15,15.6,3.583,45.83,7,4,3,6,3.976,57.56,56.25,77.78,3.7,14.81,0.545,8,1,2,1,6.4,0.125,1,76.47,23.53,0.583,5.88,35.29,57.58,0.176,0
34,Ty Farwell,A's,5.333,3,1,0,0,0,1,0,0,26,4,7,3,0,2,9,0,4,0,0,104,2.44,0,0.267,5.06,45,0,0,1,4,0,0,0,0,0,22.5,4.091,36.36,2,1,0,0,7.645,44.44,54.55,66.67,33.33,0,2,0,1,0,0,13.33,0.182,0.5,100,0,0.333,0,75,25,0,0
11,Ty Phipps,Green Dragons,15.333,11,0,0,0,0,1,0,0,66,27,20,13,1,1,12,0,10,0,0,166,2.58,1,0.509,7.75,124,0,0,1,8,0,0,0,0,0.31,18.6,3.351,51.35,2,2,1,3,5.909,54.84,51.35,73.68,5.26,21.05,0.9,5,4,2,1,8.87,0.135,0.833,72,28,1.6,20,28,52,0.333,0.273
25,Ty Potts,A's,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,33,3,0,0.25,0,33,0,0,0,3,0,0,1,100,0.25,33,5.5,0,0,0,0,0,8.38,57.58,66.67,50,25,25,2,0,0,0,0,3.03,0,0,75,25,0,25,50,25,0.25,0
20,Tyler Nelson,Blue Sox,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,1,0,1,0,0,24,2,0,0.25,9,24,0,0,0,1,0,0,2,100,0.25,24,4.8,20,0,0,0,0,3.76,50,80,50,25,25,1,0,1,1,1,0,0.2,1,100,0,0,0,66.67,33.33,0.333,0.5
22,Whitfield Haydon,Bombers,14.333,8,4,0,0,1,3,1,0,80,15,21,15,0,12,19,0,8,1,0,283,2.41,8,0.312,9.57,304,0,100,1,20,0,1,13,92.86,0.245,22.8,3.535,39.53,6,3,2,5,7.809,48.36,51.16,63.64,13.64,15.91,1.35,5,6,3,3,8.22,0.093,0.444,81.25,18.75,0.588,14.58,39.58,45.83,0.271,0.194
37,Wyatt Franchione,NorthStars,16,4,3,0,0,1,1,0,0,40,11,8,3,0,0,9,0,15,0,0,138,1.25,1,0.355,1.69,138,0,0,2,7,0,0,1,100,0.235,17.3,3.45,50,6,2,2,3,4.381,62.32,67.5,74.07,3.7,18.52,0.75,4,2,0,0,11.59,0.075,0.5,71.88,28.13,0.308,18.75,37.5,40,0.258,0.267
